X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9760256477558,40.7703573131398,5D-AM-1020-02,05D,AM,10202018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,true,false,true,small jumps,false,false,false,false,false,false,false,false,,POINT (-73.9760256477558 40.7703573131398)
-73.9593126695714,40.797533370163,39B-AM-1018-01,39B,AM,10182018,1,,,,+,,Above Ground,,,false,false,false,false,false,unknown,true,false,false,false,false,false,false,false,,POINT (-73.9593126695714 40.797533370163)
-73.9590236602085,40.7982632456866,40A-AM-1010-04,40A,AM,10102018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,bottom great hill,false,false,false,false,true,,false,false,false,true,false,false,true,true,dog chased,POINT (-73.9590236602085 40.7982632456866)
-73.9754778808471,40.7685619029765,4E-AM-1020-01,04E,AM,10202018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",White selected as Primary. Cinnamon selected as Highlights. Made executive adjustments.,Above Ground,7,,false,false,true,false,false,sitting very still,false,false,false,false,false,false,true,false,,POINT (-73.9754778808471 40.7685619029765)
-73.9597648775789,40.7903443029725,32E-AM-1007-01,32E,AM,10072018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,false,true,,POINT (-73.9597648775789 40.7903443029725)
-73.9589414339242,40.7907073888277,32E-PM-1017-04,32E,PM,10172018,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,treed area,false,false,false,true,true,,false,false,false,false,false,false,false,true,,POINT (-73.9589414339242 40.7907073888277)
-73.9779805668091,40.7680931566797,2D-PM-1012-02,02D,PM,10122018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,true,false,false,,POINT (-73.9779805668091 40.7680931566797)
-73.9733117663541,40.7694584620114,6F-PM-1008-05,06F,PM,10082018,5,Adult,Cinnamon,White,Cinnamon+White,white patch,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.97331176635412 40.7694584620114)
-73.9751729403694,40.7743284123118,10B-PM-1014-02,10B,PM,10142018,2,Adult,Gray,White,Gray+White,,Above Ground,,gingko tree by traffic light in front of Strawberry Fields,false,false,false,false,true,,false,false,false,false,true,false,false,false,came over on tree to see me then disappeared,POINT (-73.9751729403694 40.7743284123118)
-73.9786339295735,40.7684918638639,3C-PM-1008-02,03C,PM,10082018,2,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9786339295735 40.7684918638639)
-73.9726747666002,40.7703022669308,7F-AM-1008-02,07F,AM,10082018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,false,true,see stories and locations,POINT (-73.9726747666002 40.7703022669308)
-73.9770718586754,40.7729752391435,7B-AM-1008-09,07B,AM,10082018,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9770718586754 40.7729752391435)
-73.9570817579092,40.7964221087879,38D-AM-1017-02,38D,AM,10172018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,false,hiding in log,false,false,false,false,false,false,true,false,,POINT (-73.9570817579092 40.7964221087879)
-73.974420668782,40.7749628597465,10C-PM-1013-04,10C,PM,10132018,4,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.974420668782 40.7749628597465)
-73.9719735582476,40.7693045133578,6G-PM-1020-02,06G,PM,10202018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,true,true,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9719735582476 40.7693045133578)
-73.9589627056561,40.7847591558491,26I-PM-1010-02,26I,PM,10102018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,hiding food,false,false,false,false,true,false,true,false,,POINT (-73.9589627056561 40.7847591558491)
-73.9762246600197,40.775164077652,10A-AM-1006-03,10A,AM,10062018,3,Juvenile,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Bridle Path lawn,false,false,false,true,false,,false,false,false,false,false,false,false,false,,POINT (-73.9762246600197 40.775164077652)
-73.9800669115792,40.7676825134384,1B-AM-1012-07,01B,AM,10122018,7,Adult,Cinnamon,,Cinnamon+,,Above Ground,2,on tree trunk,false,true,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9800669115792 40.7676825134384)
-73.976798124308,40.7741316574113,9A-PM-1010-04,09A,PM,10102018,4,,Cinnamon,,Cinnamon+,,Above Ground,20,,true,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.97679812430802 40.7741316574113)
-73.9773317054464,40.7684035996758,3D-AM-1006-03,03D,AM,10062018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,on top [of] a big rock/boulder in the area,true,false,true,false,false,climbing (rock),false,false,false,false,false,true,false,false,"approaches (slightly),wary of humans",POINT (-73.9773317054464 40.76840359967581)
-73.9534333425633,40.7932564163328,37H-AM-1018-03,37H,AM,10182018,3,Adult,Gray,White,Gray+White,,Above Ground,10,in a tree with red berries,false,false,false,true,false,,false,true,false,false,false,false,false,true,,POINT (-73.9534333425633 40.7932564163328)
-73.9726958070536,40.7706096126328,7F-AM-1008-09,07F,AM,10082018,9,Adult,Gray,,Gray+,,Above Ground,20,,false,false,true,false,false,playing w/ #8,false,false,false,false,false,false,true,false,,POINT (-73.9726958070536 40.7706096126328)
-73.978436117932,40.7724769242403,6A-AM-1006-06,06A,AM,10062018,6,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,15,tree,false,false,true,false,false,,true,false,false,false,false,false,false,false,,POINT (-73.978436117932 40.7724769242403)
-73.9552861155228,40.788973931872,32I-AM-1013-05,32I,AM,10132018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,3,In and below shrub,false,false,true,false,true,,false,false,false,true,false,false,true,false,,POINT (-73.9552861155228 40.788973931872)
-73.9712876234172,40.7695885530701,7H-PM-1006-02,07H,PM,10062018,2,Adult,Gray,,Gray+,,Above Ground,25,tree,true,false,true,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.9712876234172 40.7695885530701)
-73.9771069181511,40.7670538214988,2E-PM-1014-05,02E,PM,10142018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9771069181511 40.7670538214988)
-73.9698714743386,40.7743814661685,12F-AM-1020-02,12F,AM,10202018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9698714743386 40.7743814661685)
-73.9691094942294,40.776760392858,14E-AM-1008-01,14E,AM,10082018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,true,false,walking,false,false,false,false,false,false,false,true,,POINT (-73.9691094942294 40.776760392858)
-73.9786481009499,40.7697372811949,4B-PM-1018-03,04B,PM,10182018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,true,false,false,,POINT (-73.9786481009499 40.7697372811949)
-73.9754742295091,40.7696998327247,5E-PM-1012-02,05E,PM,10122018,2,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.9754742295091 40.7696998327247)
-73.968107276769,40.7768612676036,15F-AM-1007-09,15F,AM,10072018,9,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,20,,false,false,true,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.968107276769 40.7768612676036)
-73.9591400366159,40.7891708599318,31F-PM-1007-01,31F,PM,10072018,1,Adult,Gray,White,Gray+White,white neck and belly,Ground Plane,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9591400366159 40.7891708599318)
-73.9767191629692,40.7730786298701,8B-PM-1012-03,08B,PM,10122018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9767191629692 40.7730786298701)
-73.9661262885099,40.7844085550945,23D-AM-1013-01,23D,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,3,,false,false,true,false,false,,false,false,false,false,false,true,false,false,"approaches (he saw me,came towards,then darted up)",POINT (-73.9661262885099 40.7844085550945)
-73.9521950056404,40.794937340845,39H-PM-1013-01,39H,PM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,true,false,ran away when a human approached with a dog,POINT (-73.9521950056404 40.794937340845)
-73.9579218587172,40.7960605028848,38C-AM-1019-04,38C,AM,10192018,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,true,true,false,false,false,false,true,false,,POINT (-73.9579218587172 40.79606050288481)
-73.9639832886071,40.7909532437095,30B-PM-1019-08,30B,PM,10192018,8,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,false,false,true,true,true,,false,false,false,false,false,false,false,true,,POINT (-73.9639832886071 40.7909532437095)
-73.974467903723,40.7686520352868,4F-PM-1013-04,04F,PM,10132018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.974467903723 40.7686520352868)
-73.9758579666874,40.7679326548845,3E-PM-1008-05,03E,PM,10082018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,true,false,jump,false,false,false,false,false,false,true,false,,POINT (-73.9758579666874 40.7679326548845)
-73.9619070229674,40.79525566925,35A-AM-1014-05,35A,AM,10142018,5,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9619070229674 40.79525566925)
-73.9787796921165,40.7707526535381,5A-PM-1010-01,05A,PM,10102018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,true,false,false,false,,POINT (-73.9787796921165 40.7707526535381)
-73.9550082056509,40.7894521543449,33I-AM-1008-03,33I,AM,10082018,3,Adult,Gray,,Gray+,,Above Ground,2,98th @ edge of park,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9550082056509 40.7894521543449)
-73.9587401274261,40.7960322222949,37C-PM-1013-03,37C,PM,10132018,3,Adult,Gray,White,Gray+White,,,,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9587401274261 40.7960322222949)
-73.9619411917909,40.7923536640283,33B-PM-1010-11,33B,PM,10102018,11,Adult,Gray,,Gray+,,Above Ground,10,,false,false,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9619411917909 40.7923536640283)
